#Run	 SB0 	'+/- 	 SB1 	'+/- 	 lt_HI 	'+/- 	 lt_BGO 	'+/- 	 SB0start/s 	'+/- 	 SB0end/s 	'+/-  	 SB1start/s 	'+/- 	 SB1end/s 	'+/- 
23175	403802	635.454	5549242	2355.68	0.855065	0.00134102	0.999171	0.00152949	118.833	1.40732	117.5	1.3994	1593.53	5.15353	1641.87	5.2311
23176	394879	628.394	5521383	2349.76	0.847117	0.00129465	0.99806	0.00152576	118.15	1.40327	117.333	1.39841	1585.37	5.14031	1648.88	5.24227
23177	315283	561.501	4429918	2104.74	0.839099	0.00140605	1.00165	0.00151604	83	1.17615	114.133	1.37921	1182.73	4.43984	1625.7	5.20529
23178	409813	640.166	5717257	2391.08	0.828462	0.0012519	0.974445	0.00149634	113.05	1.37265	159.467	1.63027	1583.55	5.13736	2154.25	5.99201
23179	536991	732.797	7130232	2670.25	0.863002	0.00134372	0.976841	0.00148872	160.1	1.6335	184.233	1.7523	2081.55	5.89003	2370.9	6.2861
23180	702857	838.366	9196142	3032.51	0.880296	0.00128081	0.978371	0.00137139	182.017	1.74173	175.95	1.71245	2288.85	6.17637	2401.32	6.32629
23181	640287	800.179	8238228	2870.23	0.865713	0.00128449	0.975086	0.00146294	183.467	1.74865	202.483	1.83704	2328.77	6.22999	2610.68	6.59632
23182	709610	842.384	8899346	2983.18	0.85606	0.00119416	0.97172	0.00142674	202.733	1.83818	209.783	1.86986	2557.37	6.52861	2687.53	6.6927
23183	699978	836.647	8675477	2945.42	0.848843	0.00117679	0.971718	0.00138917	208.967	1.86622	221.367	1.92079	2600.47	6.5834	2673.23	6.67487
23184	749448	865.707	9027177	3004.53	0.846645	0.00114451	0.968972	0.00140935	220.75	1.91812	226.883	1.94458	2593.3	6.57432	2684.95	6.68948
23185	716980	846.747	8765914	2960.73	0.798404	0.00134889	0.980613	0.00128799	213.7	1.88724	217.117	1.90226	2486.03	6.43692	2724.97	6.73915
23186	727435	852.898	8935238	2989.19	0.798749	0.00132512	0.97972	0.00136382	210.15	1.8715	216.217	1.89832	2538.53	6.50453	2675	6.67708
23187	715340	845.778	8755702	2959	0.802353	0.00134673	0.979899	0.00142262	217.333	1.90321	216.15	1.89803	2572.12	6.54741	2643.35	6.63746
23188	711873	843.726	8783871	2963.76	0.844957	0.00181032	1.00022	0.00146607	215.983	1.89729	213.8	1.88768	2602.82	6.58637	2597.32	6.57941
23189	694835	833.568	8449016	2906.72	0.844626	0.00173628	1.00857	0.0014976	207.933	1.8616	206.8	1.85652	2449.1	6.38892	2483.28	6.43335
23190	681945	825.8	8189544	2861.74	0.842449	0.00169111	1.00636	0.00152469	204.217	1.84489	194.217	1.79915	2401.17	6.32609	2351.32	6.26008
23191	647403	804.614	7839097	2799.84	0.835449	0.00163226	1.00553	0.00151939	195	1.80278	188.6	1.77294	2295.42	6.18522	2312.25	6.20786
23192	658524	811.495	7936736	2817.22	0.821651	0.00153851	1.00586	0.00149493	189.117	1.77537	192.183	1.78971	2260.15	6.13752	2325.35	6.22542
23193	641098	800.686	7776897	2788.71	0.824586	0.00149953	1.00535	0.00146556	189.967	1.77936	198.433	1.81858	2267.37	6.14731	2396.68	6.32018
23194	706137	840.32	8364678	2892.18	0.814941	0.0013974	1.0093	0.00125752	210.633	1.87365	194.617	1.801	2445.73	6.38453	2344.93	6.25158
23196	663681	814.666	8251511	2872.54	0.881265	0.00141038	1.00134	0.00141746	204.4	1.84572	195.967	1.80724	2369.08	6.28369	2407.23	6.33408
23197	675426	821.843	8316507	2883.84	0.862967	0.00128817	0.996238	0.00150348	199.033	1.82132	200.333	1.82726	2373.82	6.28996	2478.6	6.42729
23198	659833	812.301	8612718	2934.74	0.866167	0.00161202	1.00466	0.0015127	202.383	1.83659	199.033	1.82132	2485.62	6.43638	2553.32	6.52344
23199	676103	822.255	8859413	2976.48	0.857737	0.00149795	1.00191	0.00151983	197.283	1.8133	200.1	1.8262	2493.92	6.44711	2643.85	6.63808
